room,day,time_range,value
104,Wednesday,15:30-16:00,0.5
104,Wednesday,16:00-16:30,0.5
104,Wednesday,16:30-17:00,0.5
104,Wednesday,17:00-17:30,0.5
104,Wednesday,17:30-18:00,0.5
104,Wednesday,18:00-18:30,0.5
104,Wednesday,18:30-19:00,0.5
104,Wednesday,19:00-19:30,0.5
104,Thursday,10:30-11:00,0.5
104,Thursday,11:00-11:30,0.5
104,Thursday,11:30-12:00,0.5
104,Thursday,12:00-12:30,0.5
104,Thursday,12:30-13:00,0.5
104,Thursday,13:00-13:30,0.5
104,Thursday,13:30-14:00,0.5
104,Thursday,14:00-14:30,0.5
104,Thursday,14:30-15:00,0.5
104,Thursday,15:00-15:30,0.5
104,Thursday,15:30-16:00,0.5
104,Thursday,16:00-16:30,0.5
104,Thursday,16:30-17:00,0.5
104,Thursday,17:00-17:30,0.5
104,Thursday,17:30-18:00,0.5
104,Thursday,18:00-18:30,0.5
104,Thursday,18:30-19:00,0.5
104,Thursday,19:00-19:30,0.5
105,Monday,7:30-8:00,0.5
105,Monday,8:00-8:30,0.5
105,Monday,8:30-9:00,0.5
105,Monday,9:00-9:30,0.5
105,Monday,9:30-10:00,0.5
105,Monday,10:00-10:30,0.5
105,Monday,10:30-11:00,0.5
105,Monday,11:00-11:30,0.5
105,Monday,11:30-12:00,0.5
105,Monday,12:00-12:30,0.5
105,Monday,12:30-13:00,0.5
105,Monday,13:00-13:30,0.5
105,Monday,13:30-14:00,0
105,Monday,14:00-14:30,0
105,Monday,14:30-15:00,0
105,Monday,15:00-15:30,0
105,Monday,15:30-16:00,0
105,Monday,16:00-16:30,0
105,Monday,16:30-17:00,0
105,Monday,17:00-17:30,0
105,Monday,17:30-18:00,0
105,Tuesday,7:30-8:00,0.5
105,Tuesday,8:00-8:30,0.5
105,Tuesday,8:30-9:00,0.5
105,Tuesday,9:00-9:30,0.5
105,Tuesday,9:30-10:00,0.5
105,Tuesday,10:00-10:30,0.5
105,Tuesday,10:30-11:00,0.5
105,Tuesday,11:00-11:30,0.5
105,Tuesday,11:30-12:00,0.5
105,Tuesday,12:00-12:30,0.5
105,Tuesday,12:30-13:00,0.5
105,Tuesday,13:00-13:30,0.5
105,Tuesday,13:30-14:00,0.5
105,Tuesday,14:00-14:30,0.5
105,Tuesday,14:30-15:00,0.5
105,Tuesday,15:00-15:30,0.5
105,Tuesday,15:30-16:00,0.5
105,Tuesday,16:00-16:30,0.5
105,Tuesday,16:30-17:00,0.5
105,Tuesday,17:00-17:30,0.5
105,Tuesday,17:30-18:00,0.5
105,Tuesday,18:00-18:30,0.5
105,Tuesday,18:30-19:00,0.5
105,Tuesday,19:00-19:30,0.5
105,Wednesday,7:30-8:00,0.5
105,Wednesday,8:00-8:30,0.5
105,Wednesday,8:30-9:00,0.5
105,Wednesday,9:00-9:30,0.5
105,Wednesday,9:30-10:00,0.5
105,Wednesday,10:00-10:30,0.5
105,Wednesday,10:30-11:00,0
105,Wednesday,11:00-11:30,0
105,Wednesday,11:30-12:00,0
105,Wednesday,12:00-12:30,0
105,Wednesday,12:30-13:00,0
105,Wednesday,13:00-13:30,0
105,Wednesday,13:30-14:00,0
105,Wednesday,14:00-14:30,0
105,Wednesday,14:30-15:00,0
105,Wednesday,15:00-15:30,0
105,Wednesday,15:30-16:00,0
105,Wednesday,16:00-16:30,0
105,Wednesday,16:30-17:00,0
105,Wednesday,17:00-17:30,0
105,Wednesday,17:30-18:00,0
105,Thursday,7:30-8:00,0.5
105,Thursday,8:00-8:30,0.5
105,Thursday,8:30-9:00,0.5
105,Thursday,9:00-9:30,0.5
105,Thursday,9:30-10:00,0.5
105,Thursday,10:00-10:30,0.5
105,Thursday,10:30-11:00,0
105,Thursday,11:00-11:30,0
105,Thursday,11:30-12:00,0
105,Thursday,12:00-12:30,0
105,Thursday,12:30-13:00,0
105,Thursday,13:00-13:30,0
105,Thursday,13:30-14:00,0
105,Thursday,14:00-14:30,0
105,Thursday,14:30-15:00,0
105,Thursday,15:00-15:30,0
105,Thursday,15:30-16:00,0
105,Thursday,16:00-16:30,0
105,Thursday,16:30-17:00,0
105,Thursday,17:00-17:30,0
105,Thursday,17:30-18:00,0
105,Friday,7:30-8:00,0.5
105,Friday,8:00-8:30,0.5
105,Friday,8:30-9:00,0.5
105,Friday,9:00-9:30,0.5
105,Friday,9:30-10:00,0.5
105,Friday,10:00-10:30,0.5
105,Friday,10:30-11:00,0
105,Friday,11:00-11:30,0
105,Friday,11:30-12:00,0
105,Friday,12:00-12:30,0
105,Friday,12:30-13:00,0
105,Friday,13:00-13:30,0
105,Friday,13:30-14:00,0
105,Friday,14:00-14:30,0
105,Friday,14:30-15:00,0
105,Friday,15:00-15:30,0.5
105,Friday,15:30-16:00,0.5
105,Friday,16:00-16:30,0.5
105,Friday,16:30-17:00,0.5
